Date,Open,High,Low,Close,SharesTraded,Turnover(Rs.Cr)
12-Jun-2018,29383.30,29575.10,29353.10,29548.75,171590007,3383.74
13-Jun-2018,29618.60,29671.70,29471.40,29491.40,169887948,3473.32
14-Jun-2018,29501.10,29501.30,29277.20,29440.70,150946617,3296.15
15-Jun-2018,29418.75,29485.95,29138.70,29215.65,184068780,4271.71
18-Jun-2018,29237.50,29271.55,29008.70,29064.75,120291338,2553.09
19-Jun-2018,29004.40,29095.40,28733.85,28847.90,147015809,3193.86
20-Jun-2018,28933.40,28968.55,28774.15,28838.55,156225858,3476.80
21-Jun-2018,28933.60,28961.35,28639.95,28675.85,139125749,3210.71
22-Jun-2018,28675.50,28866.75,28450.80,28829.45,137179951,3076.51
25-Jun-2018,28836.40,28880.50,28404.50,28447.70,145347482,2893.97
26-Jun-2018,28406.55,28632.30,28389.75,28505.85,176989480,3621.34
27-Jun-2018,28570.45,28576.25,28061.35,28119.00,173876447,3566.74
28-Jun-2018,28073.45,28176.45,27726.15,27771.35,224686313,4463.19
29-Jun-2018,27921.70,28334.25,27915.15,28291.70,178029755,3799.41
02-Jul-2018,28355.15,28370.85,27885.50,28042.45,167192604,3136.37
03-Jul-2018,28061.10,28212.35,27908.15,28170.50,146904981,3025.22
04-Jul-2018,28142.80,28155.55,27958.80,28113.30,142880995,4514.39
05-Jul-2018,28163.00,28176.00,27955.10,27999.05,140528605,3339.27
06-Jul-2018,27961.65,28319.45,27913.30,28148.05,181308362,3639.08
09-Jul-2018,28318.20,28389.55,28251.00,28361.45,128608134,2450.15
10-Jul-2018,28493.00,28680.35,28478.65,28655.60,156357709,3523.91
11-Jul-2018,28638.65,28682.45,28403.95,28424.00,150128994,3285.27
12-Jul-2018,28562.40,28690.45,28311.80,28367.20,162669445,3601.46
13-Jul-2018,28427.05,28491.75,28191.90,28234.85,156650186,3034.95
16-Jul-2018,28274.20,28275.65,27552.85,27592.45,163113790,3232.59
17-Jul-2018,27631.10,27947.75,27523.80,27904.35,220907278,3830.28
18-Jul-2018,28023.30,28073.20,27519.90,27591.20,318409299,4949.01
19-Jul-2018,27657.90,27715.80,27351.75,27438.95,276506764,4171.94
20-Jul-2018,27443.50,27614.40,27340.80,27593.65,179902557,3251.36
23-Jul-2018,27699.75,28085.20,27691.45,28065.85,203706424,4211.87
24-Jul-2018,28149.95,28807.80,28149.35,28786.25,331346165,6439.75
25-Jul-2018,28845.85,28948.85,28677.75,28758.30,256289260,4955.28
26-Jul-2018,28835.80,29089.40,28827.60,29026.25,319286307,7123.83
27-Jul-2018,29152.40,29326.90,29117.75,29258.45,263984179,4476.72
30-Jul-2018,29367.35,29592.65,29243.70,29563.55,312400658,5341.41
31-Jul-2018,29525.20,29716.65,29417.95,29690.55,286156635,5995.70
01-Aug-2018,29783.35,29886.30,29617.80,29783.15,298085343,5518.64
02-Aug-2018,29761.40,29877.20,29522.60,29702.00,223629373,4938.17
03-Aug-2018,29807.55,30004.85,29795.10,29903.85,230433351,4467.45
06-Aug-2018,29994.50,30056.50,29883.05,29948.55,194964466,4107.24
07-Aug-2018,30027.65,30078.55,29784.90,29934.25,302448778,5152.75
08-Aug-2018,29989.35,30038.95,29856.35,29981.50,231599501,4158.66
09-Aug-2018,30040.90,30140.30,29986.00,30093.55,221581431,4348.22
10-Aug-2018,30117.90,30128.40,29778.95,29867.75,202467917,3857.23
13-Aug-2018,29711.35,29798.50,29526.10,29547.10,168245699,3773.13
14-Aug-2018,29615.85,29740.40,29585.10,29710.50,150919546,3738.60
