SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
MARICO,EQ,389.9,394.6,383.7,391.1,392.7,393.8,559133,217871642.6,27-OCT-2019,8201,INE196A01026,
MARINE,SM,101,101.75,101,101.75,101.75,100,6000,608500,27-OCT-2019,3,INE01JE01010,
MARKSANS,EQ,14,14.6,13.9,14.3,14.3,13.95,279210,3977907.15,27-OCT-2019,753,INE750C01026,
MARSHALL,SM,20,20,20,20,20,20,3000,60000,27-OCT-2019,1,INE00SZ01018,
MARUTI,EQ,7477,7500,7392.05,7422.1,7412,7471.15,128352,955568179,27-OCT-2019,12869,INE585B01010,
MASFIN,EQ,747,749.9,716.1,733.15,736,728.15,1462,1076680.75,27-OCT-2019,132,INE348L01012,
MASTEK,EQ,341.35,350,341.35,345.9,348.4,340.6,3811,1315043.4,27-OCT-2019,247,INE759A01021,
MATRIMONY,EQ,524.8,524.85,499.85,510.3,510,499.65,466,238874.4,27-OCT-2019,72,INE866R01028,
MAWANASUG,EQ,33.1,34.2,33.1,33.75,33.8,33.9,16475,557213.9,27-OCT-2019,89,INE636A01039,
MAXINDIA,EQ,66.25,68.4,65.75,67.95,68,66.25,51127,3465559.6,27-OCT-2019,171,INE153U01017,
MAXVIL,EQ,38.35,38.5,37.5,38.25,38.2,37.5,15658,595822.6,27-OCT-2019,84,INE154U01015,
MAYURUNIQ,EQ,221,222.85,215,218.95,217.55,215,6787,1480616,27-OCT-2019,234,INE040D01038,
MAZDA,EQ,365.05,397,364.95,379.15,374.95,365.3,763,290509.9,27-OCT-2019,80,INE885E01034,
MBAPL,EQ,78,78,78,78,78,76,100,7800,27-OCT-2019,1,INE900L01010,
MBECL,BE,3.85,3.85,3.55,3.8,3.6,3.7,6057,22672.45,27-OCT-2019,18,INE748A01016,
MBLINFRA,BE,4.95,5.45,4.95,5.05,4.95,5.2,7383,37604.4,27-OCT-2019,20,INE912H01013,
MCDHOLDING,EQ,18.6,18.6,17.5,18.15,18.4,18.2,8338,150862.95,27-OCT-2019,84,INE836H01014,
MCDOWELL-N,EQ,631,635,627,629.2,629.35,627.2,113856,71711141.7,27-OCT-2019,2895,INE854D01024,
MCL,SM,131.25,131.25,129.1,130.15,129.1,125.05,3600,469920,27-OCT-2019,3,INE813V01022,
